Raman shift [1/cm],Intensity
840.418,102.76638
838.947,90.810268
837.476,84.372212
836.005,80.917543
834.534,77.984326
833.062,75.298779
831.591,74.532369
830.12,75.963718
828.649,76.972668
827.178,76.931834
825.707,76.576759
824.236,77.41994
822.765,77.662639
821.294,74.771431
819.823,69.0428
818.351,65.783116
816.88,64.242091
815.409,61.137373
813.938,55.794525
812.467,50.27273
810.996,46.36998
809.525,45.384541
808.054,45.115691
806.583,45.437459
805.112,46.908093
803.64,53.336976
802.169,60.914804
800.698,67.006383
799.227,71.785227
797.756,78.449406
796.285,83.672386
794.814,85.824511
793.343,84.547159
791.872,81.444817
790.401,76.330588
788.929,69.416556
787.458,62.483261
785.987,53.476852
784.516,44.897537
783.045,41.901054
781.574,38.251989
780.103,35.105526
778.632,33.119309
777.161,33.384258
775.69,33.783912
774.218,33.600588
772.747,33.091921
771.276,34.114038
769.805,34.850214
768.334,34.259668
766.863,34.190795
765.392,33.718873
763.921,33.839326
762.45,35.286722
760.979,36.543437
759.507,37.816771
758.036,39.680252
756.565,43.347372
755.094,44.501609
753.623,43.661976
752.152,42.787896
750.681,41.218199
749.21,39.044654
747.739,36.877881
746.268,35.109093
744.796,30.28047
743.325,24.797525
741.854,22.03177
740.383,20.985158
738.912,20.981612
737.441,21.656491
735.97,19.949944
734.499,18.581874
733.028,19.869399
731.557,22.971049
730.085,26.814952
728.614,30.892264
727.143,32.350864
725.672,29.890834
724.201,26.995321
722.73,25.490797
721.259,25.063747
719.788,24.885082
718.317,24.953555
716.846,23.49726
715.374,24.996195
713.903,31.965393
712.432,41.272783
710.961,60.830615
709.49,83.317516
708.019,103.10134
706.548,120.66576
705.077,131.10787
703.606,134.59521
702.135,131.05524
700.663,124.67203
699.192,112.89048
697.721,96.801694
696.25,77.925388
694.779,67.929865
693.308,56.001881
691.837,45.798738
690.366,45.107183
688.895,43.843871
687.424,41.928331
685.952,40.371514
684.481,35.425582
683.01,32.094055
681.539,32.638664
680.068,35.479729
678.597,33.883456
677.126,34.133807
675.655,39.967111
674.184,44.367986
672.713,44.378278
671.241,41.488518
669.77,39.33318
668.299,38.059313
666.828,37.320511
665.357,37.943989
663.886,42.822584
662.415,50.673031
660.944,60.579127
659.473,66.420535
658.002,72.142812
656.53,77.606631
655.059,81.292818
653.588,82.098044
652.117,76.323062
650.646,70.017864
649.175,66.409726
647.704,62.744782
646.233,61.5688
644.762,67.943695
643.291,85.530164
641.819,115.17142
640.348,156.35866
638.877,207.46821
637.406,253.56991
635.935,311.60055
634.464,346.27496
632.993,363.40141
631.522,362.91959
630.051,342.91445
628.58,316.12341
627.108,271.29556
625.637,217.83704
624.166,169.8415
622.695,125.66281
621.224,98.384836
619.753,84.570262
618.282,78.44774
616.811,75.224635
615.34,76.181244
613.869,76.660623
612.397,79.045496
610.926,81.553418
609.455,81.916193
607.984,80.995313
606.513,75.358062
605.042,70.317566
603.571,68.94797
602.1,68.68536
600.629,64.726972
599.158,61.216606
597.686,60.329104
